,X,Y
0,20120201,1220.3972602739727
1,20120202,1186.945205479452
2,20120203,1050.0958904109589
3,20120204,1126.8835616438355
4,20120205,965.7054794520548
5,20120206,925.4109589041096
6,20120207,1050.0958904109589
7,20120208,958.8630136986301
8,20120209,975.5890410958904
9,20120210,999.917808219178
10,20120211,1026.527397260274
11,20120212,1030.3287671232877
12,20120213,1002.1986301369863
13,20120214,1008.2808219178082
14,20120215,913.2465753424658
15,20120216,829.6164383561644
16,20120217,807.568493150685
17,20120218,756.6301369863013
18,20120219,752.068493150685
19,20120220,699.6095890410959
20,20120221,666.9178082191781
21,20120222,806.8082191780823
22,20120223,901.8424657534247
23,20120224,961.9041095890411
24,20120225,961.9041095890411
25,20120226,910.2054794520548
26,20120227,840.2602739726028
27,20120228,717.8561643835617
28,20120229,712.5342465753424
29,20120301,791.6027397260274
30,20120302,839.5
31,20120303,939.8561643835617
32,20120304,675.2808219178082
33,20120305,784.0
34,20120306,872.9520547945206
35,20120307,903.3630136986301
36,20120308,910.9657534246576
37,20120309,866.1095890410959
38,20120310,872.9520547945206
39,20120311,727.7397260273972
40,20120312,799.2054794520548
41,20120313,719.3767123287671
42,20120314,600.013698630137
43,20120315,797.6849315068494
44,20120316,720.8972602739726
45,20120317,739.9041095890411
46,20120318,761.9520547945206
47,20120319,872.9520547945206
48,20120320,887.3972602739726
49,20120321,874.472602739726
50,20120322,898.8013698630137
51,20120323,793.1232876712329
52,20120324,777.1575342465753
53,20120325,744.4657534246576
54,20120326,679.8424657534247
55,20120327,690.486301369863
56,20120328,639.5479452054794
57,20120329,646.3904109589041
58,20120330,631.945205479452
59,20120331,601.5342465753424
60,20120401,709.4931506849315
61,20120402,720.1369863013699
62,20120403,644.8698630136987
63,20120404,711.013698630137
64,20120405,708.7328767123288
65,20120406,628.1438356164383
66,20120407,704.1712328767123
67,20120408,726.2191780821918
68,20120409,678.3219178082192
69,20120410,682.1232876712329
70,20120411,803.7671232876712
71,20120412,690.486301369863
72,20120413,724.6986301369864
73,20120414,774.1164383561644
74,20120415,723.9383561643835
75,20120416,673.0
76,20120417,632.7054794520548
77,20120418,596.2123287671233
78,20120419,600.013698630137
79,20120420,599.2534246575342
80,20120421,502.6986301369863
81,20120422,474.56849315068496
82,20120423,508.0205479452055
83,20120424,493.57534246575347
84,20120425,456.32191780821915
85,20120426,508.0205479452055
86,20120427,545.2739726027397
87,20120428,546.0342465753424
88,20120429,523.2260273972603
89,20120430,531.5890410958905
90,20120501,519.4246575342465
91,20120502,502.6986301369863
92,20120503,457.8424657534247
93,20120504,423.63013698630135
94,20120505,457.8424657534247
95,20120506,406.14383561643837
96,20120507,416.027397260274
97,20120508,473.04794520547944
98,20120509,454.04109589041093
99,20120510,464.6849315068493
100,20120511,482.93150684931504
101,20120512,454.04109589041093
102,20120513,435.0342465753425
103,20120514,421.3493150684932
